source,url,suggested_fix
"https://www.boost.org/releases/","https://www.boost.org/libs/openmethod","https://www.boost.org/doc/libs/latest/libs/openmethod"
"https://www.boost.org/releases/","https://www.boost.org/libs/asio/","https://www.boost.org/doc/libs/latest/libs/asio/"
"https://www.boost.org/releases/","https://www.boost.org/libs/beast/","https://www.boost.org/doc/libs/latest/libs/beast/"
"https://www.boost.org/releases/","https://www.boost.org/libs/bloom/","https://www.boost.org/doc/libs/latest/libs/bloom/"
"https://www.boost.org/releases/","https://www.boost.org/libs/charconv/","https://www.boost.org/doc/libs/latest/libs/charconv/"
"https://www.boost.org/releases/","https://www.boost.org/libs/compat/","https://www.boost.org/doc/libs/latest/libs/compat/"
"https://www.boost.org/releases/","https://www.boost.org/libs/container/","https://www.boost.org/doc/libs/latest/libs/container/"
"https://www.boost.org/releases/","https://www.boost.org/libs/conversion/","https://www.boost.org/doc/libs/latest/libs/conversion/"
"https://www.boost.org/releases/","https://www.boost.org/libs/core/","https://www.boost.org/doc/libs/latest/libs/core/"
"https://www.boost.org/releases/","https://www.boost.org/libs/dll/","https://www.boost.org/doc/libs/latest/libs/dll/"
"https://www.boost.org/releases/","https://www.boost.org/libs/dynamic_bitset/","https://www.boost.org/doc/libs/latest/libs/dynamic_bitset/"
"https://www.boost.org/releases/","https://www.boost.org/libs/filesystem/","https://www.boost.org/doc/libs/latest/libs/filesystem/"
"https://www.boost.org/releases/","https://www.boost.org/libs/flyweight/","https://www.boost.org/doc/libs/latest/libs/flyweight/"
"https://www.boost.org/releases/","https://www.boost.org/libs/geometry/","https://www.boost.org/doc/libs/latest/libs/geometry/"
"https://www.boost.org/releases/","https://www.boost.org/libs/gil/","https://www.boost.org/doc/libs/latest/libs/gil/"
"https://www.boost.org/releases/","https://www.boost.org/libs/interprocess/","https://www.boost.org/doc/libs/latest/libs/interprocess/"
"https://www.boost.org/releases/","https://www.boost.org/libs/json/","https://www.boost.org/doc/libs/latest/libs/json/"
"https://www.boost.org/releases/","https://www.boost.org/libs/lexical_cast/","https://www.boost.org/doc/libs/latest/libs/lexical_cast/"
"https://www.boost.org/releases/","https://www.boost.org/libs/locale/","https://www.boost.org/doc/libs/latest/libs/locale/"
"https://www.boost.org/releases/","https://www.boost.org/libs/log/","https://www.boost.org/doc/libs/latest/libs/log/"
"https://www.boost.org/releases/","https://www.boost.org/libs/math/","https://www.boost.org/doc/libs/latest/libs/math/"
"https://www.boost.org/releases/","https://www.boost.org/libs/mp11/","https://www.boost.org/doc/libs/latest/libs/mp11/"
"https://www.boost.org/releases/","https://www.boost.org/libs/mqtt5/","https://www.boost.org/doc/libs/latest/libs/mqtt5/"
"https://www.boost.org/releases/","https://www.boost.org/libs/msm/","https://www.boost.org/doc/libs/latest/libs/msm/"
"https://www.boost.org/releases/","https://www.boost.org/libs/multiprecision/","https://www.boost.org/doc/libs/latest/libs/multiprecision/"
"https://www.boost.org/releases/","https://www.boost.org/libs/mysql/","https://www.boost.org/doc/libs/latest/libs/mysql/"
"https://www.boost.org/releases/","https://www.boost.org/libs/parser/","https://www.boost.org/doc/libs/latest/libs/parser/"
"https://www.boost.org/releases/","https://www.boost.org/libs/pfr/","https://www.boost.org/doc/libs/latest/libs/pfr/"
"https://www.boost.org/releases/","https://www.boost.org/libs/random/","https://www.boost.org/doc/libs/latest/libs/random/"
"https://www.boost.org/releases/","https://www.boost.org/libs/redis/","https://www.boost.org/doc/libs/latest/libs/redis/"
"https://www.boost.org/releases/","https://www.boost.org/libs/smart_ptr/","https://www.boost.org/doc/libs/latest/libs/smart_ptr/"
"https://www.boost.org/releases/","https://www.boost.org/libs/stacktrace/","https://www.boost.org/doc/libs/latest/libs/stacktrace/"
"https://www.boost.org/releases/","https://www.boost.org/libs/static_string/","https://www.boost.org/doc/libs/latest/libs/static_string/"
"https://www.boost.org/releases/","https://www.boost.org/libs/stl_interfaces/","https://www.boost.org/doc/libs/latest/libs/stl_interfaces/"
"https://www.boost.org/releases/","https://www.boost.org/libs/test/","https://www.boost.org/doc/libs/latest/libs/test/"
"https://www.boost.org/releases/","https://www.boost.org/libs/type_index/","https://www.boost.org/doc/libs/latest/libs/type_index/"
"https://www.boost.org/releases/","https://www.boost.org/libs/url/","https://www.boost.org/doc/libs/latest/libs/url/"
"https://www.boost.org/releases/","https://www.boost.org/libs/uuid/","https://www.boost.org/doc/libs/latest/libs/uuid/"
"https://www.boost.org/releases/","https://www.boost.org/libs/variant2/","https://www.boost.org/doc/libs/latest/libs/variant2/"
"https://www.boost.org/library/develop/utilitycall_traits/","https://www.boost.org/libs/utility","https://www.boost.org/doc/libs/latest/libs/utility"
"https://www.boost.org/library/develop/any/","https://www.boost.org/libs/any","https://www.boost.org/doc/libs/latest/libs/any"
"https://www.boost.org/library/develop/type_index/","https://www.boost.org/libs/type_index","https://www.boost.org/doc/libs/latest/libs/type_index"
"https://www.boost.org/library/develop/core/","https://www.boost.org/libs/core","https://www.boost.org/doc/libs/latest/libs/core"
"https://www.boost.org/library/develop/mp11/","https://www.boost.org/libs/mp11/doc/html/simple_cxx11_metaprogramming.html","https://www.boost.org/doc/libs/latest/libs/mp11/doc/html/simple_cxx11_metaprogramming.html"
"https://www.boost.org/library/develop/mp11/","https://www.boost.org/libs/mp11/doc/html/simple_cxx11_metaprogramming_2.html","https://www.boost.org/doc/libs/latest/libs/mp11/doc/html/simple_cxx11_metaprogramming_2.html"
"https://www.boost.org/library/develop/atomic/","https://www.boost.org/libs/atomic","https://www.boost.org/doc/libs/latest/libs/atomic"
"https://www.boost.org/library/develop/integer/","https://www.boost.org/libs/integer","https://www.boost.org/doc/libs/latest/libs/integer"
"https://www.boost.org/library/develop/parameter/","https://www.boost.org/libs/parameter","https://www.boost.org/doc/libs/latest/libs/parameter"
"https://www.boost.org/library/develop/filesystem/","https://www.boost.org/libs/filesystem","https://www.boost.org/doc/libs/latest/libs/filesystem"
"https://www.boost.org/library/develop/iterator/","https://www.boost.org/libs/iterator","https://www.boost.org/doc/libs/latest/libs/iterator"
"https://www.boost.org/library/develop/scope/","https://www.boost.org/libs/scope/","https://www.boost.org/doc/libs/latest/libs/scope/"
